iter	Passed	Remaining
552	85842	38341
553	86016	38194
554	86161	38035
555	86319	37881
556	86482	37729
557	86615	37564
558	86779	37413
559	86941	37260
560	87084	37100
561	87258	36953
562	87403	36793
563	87564	36640
564	87705	36479
565	87853	36321
566	88008	36165
567	88170	36013
568	88329	35859
569	88510	35714
570	88685	35567
571	88871	35424
572	89006	35261
573	89169	35108
574	89318	34950
575	89464	34791
576	89617	34635
577	89766	34477
578	89917	34320
579	90064	34162
580	90211	34003
581	90350	33842
582	90490	33681
583	90647	33527
584	90797	33370
585	90935	33208
586	91107	33059
587	91263	32904
588	91430	32753
589	91582	32597
590	91724	32437
591	91873	32279
592	92015	32120
593	92158	31960
594	92333	31812
595	92487	31656
596	92642	31501
597	92785	31342
598	92953	31191
599	93106	31035
600	93268	30882
601	93425	30727
602	93569	30569
603	93750	30422
604	93923	30272
605	94087	30120
606	94246	29966
607	94401	29810
608	94553	29654
609	94711	29500
610	94852	29340
611	95004	29184
612	95150	29026
613	95311	28872
614	95468	28718
615	95637	28567
616	95777	28407
617	95950	28257
618	96105	28102
619	96258	27946
620	96422	27793
621	96573	27636
622	96740	27484
623	96906	27332
624	97059	27176
625	97216	27021
626	97384	26870
627	97541	26715
628	97707	26562
629	97854	26405
630	98006	26249
631	98167	26095
632	98332	25942
633	98488	25787
634	98649	25633
635	98806	25478
636	98972	25325
637	99106	25164
638	99252	25007
639	99406	24851
640	99567	24697
641	99712	24539
642	99880	24387
643	100042	24233
644	100184	24075
645	100329	23917
646	100501	23766
647	100653	23610
648	100797	23452
649	100961	23298
650	101120	23144
651	101272	22988
652	101420	22831
653	101560	22672
654	101712	22516
655	101865	22360
656	102020	22205
657	102161	22047
658	102313	21891
659	102470	21736
660	102614	21578
661	102769	21423
662	102940	21271
663	103087	21114
664	103256	20961
665	103426	20809
666	103573	20652
667	103727	20497
668	103878	20340
669	104030	20185
670	104184	20029
671	104334	19873
672	104484	19717
673	104637	19561
674	104789	19405
675	104946	19250
676	105107	19096
677	105255	18939
678	105409	18784
679	105568	18629
680	105731	18475
681	105884	18320
682	106024	18162
683	106179	18007
684	106330	17851
685	106473	17693
686	106625	17538
687	106766	17380
688	106942	17228
689	107097	17073
690	107241	16916
691	107382	16759
692	107550	16605
693	107701	16450
694	107855	16294
695	108031	16142
696	108244	15995
697	108431	15845
698	108606	15692
699	108790	15541
700	108948	15386
701	109106	15231
702	109287	15079
703	109449	14924
704	109602	14769
705	109747	14612
706	109921	14459
707	110076	14303
708	110238	14149
709	110394	13993
710	110539	13836
711	110690	13680
712	110829	13523
713	110988	13368
714	111168	13215
715	111309	13058
716	111465	12903
717	111615	12747
718	111756	12590
719	111903	12433
720	112062	12278
721	112216	12123
722	112383	11968
723	112567	11816
724	112730	11661
725	112887	11506
726	113048	11351
727	113191	11194
728	113340	11038
729	113490	10882
730	113642	10726
731	113789	10570
732	113948	10415
733	114095	10259
734	114251	10103
735	114396	9947
736	114564	9793
737	114723	9638
738	114871	9481
739	115027	9326
740	115191	9171
741	115349	9016
742	115507	8861
743	115654	8705
744	115807	8549
745	115965	8394
